	author	year	down_n_0dot	nodown_n_0dot	down_n_dot0	nodown_n_dot0	down_n_1dot	nodown_n_1dot	down_n_dot1	nodown_n_dot1	down_n_00	down_n_01	down_n_10	down_n_11	nodown_n_00	nodown_n_01	nodown_n_10	nodown_n_11	down_n	nodown_n
1	Benacerraf	1991	14	375	14	360	12	25	10	40	11	1	3	9	354	21	6	19	24	400
2	Benacerraf	1992	9	554	9	525	17	34	23	63	9	6	0	17	514	40	11	23	32	588
3	Benacerraf	1994	23	103	23	102	20	3	22	4	23	2	0	20	100	3	2	1	45	106
4	Biagiotti	1994	14	440	14	440	10	60	13	60	14	3	0	10	411	29	29	31	27	500
5	Bromley	1997	31	172	28	163	21	5	25	14	25	7	3	18	161	11	2	3	53	177
6	Johnson	1995	28	753	21	667	8	40	15	127	21	7	0	8	662	92	5	35	36	794
7	Lockwood	1993	30	4680	36	4713	12	194	6	161	30	0	6	6	4602	78	111	83	42	4874
8	Nyberg	1993	34	900	34	898	11	42	11	44	31	3	3	8	871	29	27	15	45	942
9	Nyberg	1998	115	919	112	887	27	11	30	43	105	10	7	20	886	33	1	10	142	930
10	Rodis	1991	4	1396	9	1396	7	74	2	74	4	0	5	2	1357	39	39	35	11	1470
11	Vintzileos	1996	12	444	17	443	10	49	5	50	11	1	6	4	419	25	24	25	22	493
