id	author	b1	b2	b3	b4	b5	b6	s11	s12	s13	s14	s15	s16	s22	s23	s24	s25	s26	s33	s34	s35	s36	s44	s45	s46	s55	s56	s66
2	"Benacerraf 1991"	0	-.3364723	-.5108256	-2.70805	-2.197225	-2.99836	.1666667	.1142857	.1333333	0	0	0	.1714286	.16	0	0	0	.1777778	0	0	0	.0426667	.0195556	.0419948	.0277778	.0262467	.0552563
3	"Benacerraf 1992"	.1251631	.9382696	.1251631	-2.790804	-2.120264	-3.201332	.1254902	.0927536	.1254902	0	0	0	.1545894	.0927536	0	0	0	.1254902	0	0	0	.0312168	.0107425	.0306091	.0177778	.0165192	.0452482
4	"Benacerraf 1994"	-.2231435	-.0444518	-.2231435	-3.536117	-3.238678	-4.65396	.09	.0818182	.09	0	0	0	.0889328	.0818182	0	0	0	.09	0	0	0	.3430421	.0790342	.3365079	.2598039	.2523809	1.009524
5	"Biagiotti 1994"	-.5306283	-.0741079	-.5306283	-1.99243	-1.99243	-2.716616	.1588235	.1221719	.1588235	0	0	0	.1483517	.1221719	0	0	0	.1588235	0	0	0	.0189394	.0085371	.0177683	.0189394	.0177683	.0343903
6	"Bromley 1997"	-.4212135	-.1133287	-.6649763	-3.538057	-2.454693	-4.060443	.078869	.0483355	.0721088	0	0	0	.0757143	.0605714	0	0	0	.084127	0	0	0	.205814	.0415777	.2034483	.0775635	.0726601	.3390805
16	"Johnson 1995"	-1.252763	-.3364723	-1.252763	-2.936513	-1.658603	-3.076654	.1607143	.0857143	.1607143	0	0	0	.1142857	.0857143	0	0	0	.1607143	0	0	0	.0263263	.0070579	.0261528	.0093733	.0082371	.029889
20	"Lockwood 1993"	-.9162906	-1.791759	-1.791759	-3.183195	-3.376676	-4.055654	.1166667	.0972222	.0972222	0	0	0	.1944444	.1944444	0	0	0	.1944444	0	0	0	.0053683	.0026411	.0052439	.0064234	.0063188	.0122569
24	"Nyberg 1993"	-1.128465	-1.128465	-1.531476	-3.064725	-3.01598	-4.123903	.1203209	.0768895	.1105651	0	0	0	.1203209	.1105651	0	0	0	.152027	0	0	0	.0249206	.0077464	.0241948	.0238409	.023095	.0677454
26	"Nyberg 1998"	-1.449095	-1.317302	-1.808289	-4.425391	-3.026645	-4.521789	.0457327	.0276302	.0431087	0	0	0	.0422619	.0387978	0	0	0	.0581967	0	0	0	.0919972	.021291	.0918972	.0243832	.0235086	.101087
27	"Rodis 1991"	.5596157	-1.504077	-1.504077	-2.937301	-2.937301	-3.713572	.3928571	.1746032	.1746032	0	0	0	.6111111	.6111111	0	0	0	.6111111	0	0	0	.0142298	.0063328	.0138431	.0142298	.0138431	.0292683
30	"Vintzileos 1996"	-.1823215	-1.223775	-1.504077	-2.204004	-2.181547	-2.929592	.1833333	.0819608	.1222222	0	0	0	.2588235	.2444444	0	0	0	.3055556	0	0	0	.0226604	.0101026	.0214983	.0222573	.0210684	.0421368
